post_title,post_content,wdm_opening_bid,wdm_lowest_bid,wdm_incremental_val,wdm-image-1,wdm_auction_thumb,wdm-main-image,post_type,wdm_listing_ends,wdm_payment_method,auction-status
Bola Oficial Adidas Cafusa(Laranja),Bola Oficial Adidas Cafusa(Laranja) - 01 UND,19,19,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bola-Oficial-Adidas-Cafusa-n°15.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bola-Oficial-Adidas-Cafusa-n°15.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Bola Oficial Cafusa ,Bola Oficial Cafusa  - 02 UND,19,19,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bola-Oficial-Cafusa-n°16.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bola-Oficial-Cafusa-n°16.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Bola Topper de campo,Bola Topper de campo - 01 UND,19,19,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bola-Oficial-Topper-n°17.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bola-Oficial-Topper-n°17.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Bolinha S.C Internacional,Bolinha S.C Internacional - 01 UND,5,5,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolinha-S.C-Internacional-n°18.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolinha-S.C-Internacional-n°18.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Bolsa EXECUTIVA VIX,Bolsa EXECUTIVA VIX - 01 UND,8,8,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-Executive-Vix-n°19.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-Executive-Vix-n°19.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Bolsa Itaútec,Bolsa Itaútec - 01 UND,15,15,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-Itaútec-n°20.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-Itaútec-n°20.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Bolsa PACTUAL BTG,Bolsa PACTUAL BTG - 01 UND,6,6,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-Pactual-BTG-n°21.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-Pactual-BTG-n°21.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Bolsa RVCA,Bolsa RVCA - 01 UND,12,12,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-RVCA-n°22.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-RVCA-n°22.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
"Bolsa Térmica ""OGIO"" ( Tam. Médio)","Bolsa Térmica ""OGIO"" ( Tam. Médio) - 01 UND",6,6,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-Térmica-Ogio-Tamanho-Méd.-n°23.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-Térmica-Ogio-Tamanho-Méd.-n°23.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
"Bolsa Térmica ""OGIO"" (Tam. Peq.)","Bolsa Térmica ""OGIO"" (Tam. Peq.) - 01 UND",3,3,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-Térmica-Ogio-Tamanho-Peq.-n°24.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-Térmica-Ogio-Tamanho-Peq.-n°24.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
"Bolsa Térmica ""Skol Folia""","Bolsa Térmica ""Skol Folia"" - 01 UND",6,6,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-Térmica-Skol-Folia-n°25.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bolsa-Térmica-Skol-Folia-n°25.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
"Boné Adidas ""Itaú"" ","Boné Adidas ""Itaú""  - 01 UND",4,4,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Boné-Adidas-Itaú-n°26.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Boné-Adidas-Itaú-n°26.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Boné FERRETTIGROUP,Boné FERRETTIGROUP - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Boné-Ferrettigroup-n°27.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Boné-Ferrettigroup-n°27.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Boné Roland Garros,Boné Roland Garros - 04 UND,3,3,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Boné-Roland-Garros-n°28.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Boné-Roland-Garros-n°28.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Bótons Gaby Estrella,Bótons Gaby Estrella - 01 UND,0.5,0.5,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Bótons-Gaby-Estrella-n°29.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Bótons-Gaby-Estrella-n°29.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Cachaça Germana,Cachaça Germana - 01 UND,4,4,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Cachaça-Germana-n°30.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Cachaça-Germana-n°30.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Cachaça Salinas 350 ml,Cachaça Salinas 350 ml - 01 UND,4,4,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Cachaça-Salinas-350-ml-n°31.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Cachaça-Salinas-350-ml-n°31.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Cachorro Esqueleto Sky,Cachorro Esqueleto Sky - 03 UND,5,5,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Cachorro-Esqueleto-Sky-n°32.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Cachorro-Esqueleto-Sky-n°32.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Caixinha de Som Giovanni Draftfcb,Caixinha de Som Giovanni Draftfcb - 02 UND,5,5,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Caixinha-de-Som-Giovanni-Draftfcb-n°33.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Caixinha-de-Som-Giovanni-Draftfcb-n°33.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Calculadora ABRALATAS,Calculadora ABRALATAS - 02 UND,5,5,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Calculadora-Abralatas-n°34.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Calculadora-Abralatas-n°34.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Câmera e Ação,Câmera e Ação - 01 UND,6,6,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Câmera-e-Ação-n°35.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Câmera-e-Ação-n°35.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Água Pura Serra viva (Tam.G/branca),Camiseta Água Pura Serra viva (Tam.G/branca) - 03 UND,1,1,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Água-Pura.-Serra-Viva-Tamanho-G-n°36.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Água-Pura.-Serra-Viva-Tamanho-G-n°36.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
"Camiseta Brasil ""Itau""","Camiseta Brasil ""Itau"" - 01 UND",15,15,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Brasil-Itau-n°37.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Brasil-Itau-n°37.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Cine Festival Audiovision (Tam. GG),Camiseta Cine Festival Audiovision (Tam. GG) - 03 UND,4,4,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Cine-Festival-Audiovision-Tamanho-GG-n°38.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Cine-Festival-Audiovision-Tamanho-GG-n°38.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Circo da cultura (Tam.P/branca),Camiseta Circo da cultura (Tam.P/branca) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Circo-da-Cultura-Tamanho-P-n°39.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Circo-da-Cultura-Tamanho-P-n°39.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Club pela infância e juventude (Tam.G/branca),Camiseta Club pela infância e juventude (Tam.G/branca) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Clube-Pela-Infância-e-Juventude-Tamanho-G-n°40.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Clube-Pela-Infância-e-Juventude-Tamanho-G-n°40.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Craque do amanhã (Tam.M/branca),Camiseta Craque do amanhã (Tam.M/branca) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Craque-do-Amanhã-Tamanho-M-n°41.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Craque-do-Amanhã-Tamanho-M-n°41.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Drink Fair Play (Tam.M/Vermelha),Camiseta Drink Fair Play (Tam.M/Vermelha) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Drink-Fair-Play-n°42.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Drink-Fair-Play-n°42.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Eu amo o mundo (Tam.GG/branca),Camiseta Eu amo o mundo (Tam.GG/branca) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Eu-Amo-o-Mundo-Tamanho-GG-n°43.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Eu-Amo-o-Mundo-Tamanho-GG-n°43.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Eu amo o mundo (Tam.M/branca),Camiseta Eu amo o mundo (Tam.M/branca) - 01 UND,3,3,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Eu-Amo-O-Mundo-Tamanho-M-n°44.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Eu-Amo-O-Mundo-Tamanho-M-n°44.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Fem.- Bem querer mulher (Tam.M/branca),Camiseta Fem.- Bem querer mulher (Tam.M/branca) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Fem.-Bem-Querer-Mulher-Tamnaho-M-n°45.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Fem.-Bem-Querer-Mulher-Tamnaho-M-n°45.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Fem.- Festivalma12 (Tam.M/preta),Camiseta Fem.- Festivalma12 (Tam.M/preta) - 01 UND,3,3,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Fem.-Festivalma12-Tamanho-M-n°46.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Fem.-Festivalma12-Tamanho-M-n°46.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Fem.VÊNUS (Tam.P),Camiseta Fem.VÊNUS (Tam.P) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Fem.-Vênus-Tamanho-P-n°47.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Fem.-Vênus-Tamanho-P-n°47.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta FERRETTIGROUP (Tam. GG Branca),Camiseta FERRETTIGROUP (Tam. GG Branca) - 01 UND,3,3,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Ferrettigroup-Tamanho-GG-n°48.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Ferrettigroup-Tamanho-GG-n°48.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Festivalma12 (Tam.M/branca),Camiseta Festivalma12 (Tam.M/branca) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Festivalma12-Tamanho-M-n°49.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Festivalma12-Tamanho-M-n°49.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Jovens de responsa (Tam.M/branca),Camiseta Jovens de responsa (Tam.M/branca) - 01 UND,1,1,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Jovens-de-Responsa-Tamanho-M-n°50.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Jovens-de-Responsa-Tamanho-M-n°50.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta MTV (Tam.PP/branca),Camiseta MTV (Tam.PP/branca) - 01 UND,1,1,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-MTV-Tamanho-PP-n°51.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-MTV-Tamanho-PP-n°51.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Polo Sukita (Tam.GG),Camiseta Polo Sukita (Tam.GG) - 01 UND,3,3,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Polo-Sukita-Tamanho-GG-n°52.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Polo-Sukita-Tamanho-GG-n°52.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta PQS (Tam.GG),Camiseta PQS (Tam.GG) - 02 UND,3,3,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-PQS-Tamanho-GG-n°53.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-PQS-Tamanho-GG-n°53.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta RED BULL (Tam.G/esportiva),Camiseta RED BULL (Tam.G/esportiva) - 01 UND,5,5,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Red-Bull-Tamanho-G-Esportiva-n°54.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Red-Bull-Tamanho-G-Esportiva-n°54.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Réveion na paulista (Tam.G/branca),Camiseta Réveion na paulista (Tam.G/branca) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Réveion-na-Paulista-Tamanho-G-n°55.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Réveion-na-Paulista-Tamanho-G-n°55.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta RVCA (Tam.M/marrom),Camiseta RVCA (Tam.M/marrom) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-RVCA-Tamanho-M-Marrom-n°56.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-RVCA-Tamanho-M-Marrom-n°56.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Seleção Brasileira (Discovery),Camiseta Seleção Brasileira (Discovery) - 01 UND,5,5,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Seleção-Brasileira-Discovery-n°57.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Seleção-Brasileira-Discovery-n°57.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta SESI (Tam.G),Camiseta SESI (Tam.G) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Sesi-Tamanho-G-n°58.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Sesi-Tamanho-G-n°58.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta SESI (Tam.GG/branca),Camiseta SESI (Tam.GG/branca) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Sesi-Tamanho-GG-n°59.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Sesi-Tamanho-GG-n°59.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta SESI (Tam.M/azul marinho),Camiseta SESI (Tam.M/azul marinho) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Sesi-Tamanho-M-Azul-Marinho-n°60.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Sesi-Tamanho-M-Azul-Marinho-n°60.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Sesi (Tamanho M/Preta),Camiseta Sesi (Tamanho M/Preta) - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Sesi-Tamanho-M-Preta-n°61.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Sesi-Tamanho-M-Preta-n°61.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta Total experience 2011 (Tam.M/branca),Camiseta Total experience 2011 (Tam.M/branca) - 01 UND,1,1,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Total-Experience-2011-Tamanho-M-n°62.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-Total-Experience-2011-Tamanho-M-n°62.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Camiseta UFC (Tamanho G/ branca),Camiseta UFC (Tamanho G/ branca) - 01 UND,4,4,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-UFC-Tamanho-G-n°63.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Camiseta-UFC-Tamanho-G-n°63.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
CAMPARI,CAMPARI - 01 UND,3,3,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Campari-n°64.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Campari-n°64.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Caneta Sexprive Brasileirinhas,Caneta Sexprive Brasileirinhas - 04 UND,0.5,0.5,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Caneta-Sexprive-Brasileirinhas-n°65.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Caneta-Sexprive-Brasileirinhas-n°65.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Caneta + Porta Cartão Accert,Caneta + Porta Cartão Accert - 01 UND,1,1,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Caneta-+-Porta-Cartão-Accert-n°66.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Caneta-+-Porta-Cartão-Accert-n°66.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Caneta BALMAIN,Caneta BALMAIN - 01 UND,4,4,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Caneta-Balmain-n°67.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Caneta-Balmain-n°67.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Caneta CROSS,Caneta CROSS - 03 UND,3,3,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Caneta-Cross-n°68.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Caneta-Cross-n°68.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Caneta Lazer FGV,Caneta Lazer FGV - 01 UND,2,2,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Caneta-Lazer-FGV-n°69.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Caneta-Lazer-FGV-n°69.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
Canivete Suíço VICTORINOX,Canivete Suíço VICTORINOX - 01 UND,7,7,0.1,http://leilaoac.com.br/wp-content/uploads/2013/10/Canivete-Suíço-Victorinox-n°70.jpg,http://leilaoac.com.br/wp-content/uploads/2013/10/Canivete-Suíço-Victorinox-n°70.jpg,main_image_1,ultimate-auction,2013-10-30 00:00:00,wdm_method_wire_transfer,live
